date;department;category;region;budget_amount;actual_amount;payment_method;transaction_id
17/1/2022;Operations;Utilities;East;35826;84077;Bank Transfer;TXN109086
15/6/2023;Operations;Training;East;12656;20027;Bank Transfer;TXN109496
16/5/2023;Operations;Marketing;East;97257;116453;Bank Transfer;TXN109516
13/12/2023;Operations;Utilities;East;48227;67766;Bank Transfer;TXN109631
16/2/2023;Operations;Training;East;125333;61471;Bank Transfer;TXN109641
21/8/2023;Operations;Utilities;East;147982;55976;Bank Transfer;TXN109686
10/9/2021;Operations;Marketing;East;57733;53123;Bank Transfer;TXN109694
31/10/2021;Operations;Utilities;East;67414;124298;Bank Transfer;TXN109893
29/5/2023;Operations;Travel;East;147211;125351;Bank Transfer;TXN109971
22/6/2022;Sales;Marketing;East;61529;129975;Bank Transfer;TXN100272
18/12/2023;Sales;Travel;East;138755;11219;Bank Transfer;TXN100469
30/11/2022;Sales;Infrastructure;East;76304;42179;Bank Transfer;TXN100667
23/5/2023;Sales;Training;East;38566;120179;Bank Transfer;TXN100766
6/6/2021;Sales;Salaries;East;132494;130152;Bank Transfer;TXN100802
4/8/2021;Sales;Infrastructure;East;143053;153573;Bank Transfer;TXN100815
6/8/2021;Sales;Infrastructure;East;95348;76595;Bank Transfer;TXN100837
8/12/2022;Sales;Utilities;East;29075;53699;Bank Transfer;TXN100965
21/6/2021;Sales;Utilities;East;149884;31871;Bank Transfer;TXN101053
30/12/2021;Sales;Salaries;East;36440;169235;Bank Transfer;TXN101103
5/10/2021;Sales;Training;East;136086;89290;Bank Transfer;TXN101254
5/7/2023;Sales;Infrastructure;East;113213;118030;Bank Transfer;TXN101255
19/4/2022;Sales;Training;East;99896;53763;Bank Transfer;TXN101266
27/4/2021;Sales;Training;East;66840;105493;Bank Transfer;TXN101334
22/9/2022;Sales;Travel;East;20586;108700;Bank Transfer;TXN101478
12/9/2022;Sales;Infrastructure;East;130536;12972;Bank Transfer;TXN101493
23/2/2022;Sales;Salaries;East;112657;50797;Bank Transfer;TXN101668
9/5/2023;Sales;Marketing;East;60087;135398;Bank Transfer;TXN101776
30/6/2022;Sales;Travel;East;11796;92099;Bank Transfer;TXN101874
5/9/2022;Sales;Utilities;East;14538;119712;Bank Transfer;TXN102262
7/5/2021;Sales;Utilities;East;16968;39325;Bank Transfer;TXN102475
17/8/2022;Sales;Infrastructure;East;40090;33710;Bank Transfer;TXN102495
27/12/2021;Sales;Utilities;East;114936;76670;Bank Transfer;TXN102909
3/8/2022;Sales;Marketing;East;114153;81075;Bank Transfer;TXN102933
5/5/2021;Sales;Travel;East;33357;153320;Bank Transfer;TXN102948
28/5/2021;Sales;Salaries;East;20125;150560;Bank Transfer;TXN103215
3/7/2022;Sales;Training;East;130761;114967;Bank Transfer;TXN103308
3/5/2021;Sales;Utilities;East;122212;45087;Bank Transfer;TXN103315
1/5/2021;Sales;Infrastructure;East;26825;159597;Bank Transfer;TXN103333
8/11/2023;Sales;Marketing;East;125539;163993;Bank Transfer;TXN103395
20/12/2022;Sales;Infrastructure;East;92639;85965;Bank Transfer;TXN103515
27/7/2022;Sales;Marketing;East;13664;119157;Bank Transfer;TXN103636
25/7/2022;Sales;Training;East;90195;105122;Bank Transfer;TXN103657
6/12/2021;Sales;Utilities;East;21391;28393;Bank Transfer;TXN103696
4/6/2021;Sales;Marketing;East;105376;127350;Bank Transfer;TXN103707
29/8/2022;Sales;Infrastructure;East;130331;94894;Bank Transfer;TXN103866
17/9/2022;Sales;Training;East;21238;68452;Bank Transfer;TXN103989
10/4/2022;Sales;Utilities;East;42860;141992;Bank Transfer;TXN104226
19/1/2022;Sales;Travel;East;26659;63965;Bank Transfer;TXN104289
26/4/2021;Sales;Salaries;East;116316;127362;Bank Transfer;TXN104484
28/5/2022;Sales;Training;East;54649;78010;Bank Transfer;TXN104527
1/1/2021;Sales;Training;East;135948;161114;Bank Transfer;TXN104637
20/3/2021;Sales;Utilities;East;81211;33218;Bank Transfer;TXN104802
19/2/2022;Sales;Salaries;East;110866;147337;Bank Transfer;TXN104910
5/4/2023;Sales;Utilities;East;22128;150641;Bank Transfer;TXN105366
30/6/2022;Sales;Utilities;East;44820;75584;Bank Transfer;TXN105416
6/4/2022;Sales;Marketing;East;41811;147048;Bank Transfer;TXN105465
19/4/2021;Sales;Utilities;East;92578;108626;Bank Transfer;TXN105648
11/2/2021;Sales;Marketing;East;126591;153941;Bank Transfer;TXN105658
23/2/2022;Sales;Infrastructure;East;61893;97096;Bank Transfer;TXN105694
29/1/2021;Sales;Travel;East;62582;83437;Bank Transfer;TXN105893
5/6/2023;Sales;Training;East;53930;141156;Bank Transfer;TXN105972
12/1/2023;Sales;Infrastructure;East;124643;99765;Bank Transfer;TXN106272
15/6/2021;Sales;Marketing;East;112542;43191;Bank Transfer;TXN106310
22/2/2021;Sales;Training;East;91280;24965;Bank Transfer;TXN106606
4/6/2021;Sales;Training;East;98148;133596;Bank Transfer;TXN106660
13/6/2023;Sales;Travel;East;44693;138257;Bank Transfer;TXN106816
13/1/2023;Sales;Infrastructure;East;107150;107749;Bank Transfer;TXN107105
30/10/2022;Sales;Training;East;38880;125704;Bank Transfer;TXN107277
15/10/2022;Sales;Utilities;East;38259;74968;Bank Transfer;TXN107443
11/5/2021;Sales;Salaries;East;95993;157787;Bank Transfer;TXN107561
17/2/2022;Sales;Salaries;East;71930;35342;Bank Transfer;TXN107739
18/4/2022;Sales;Travel;East;63664;15270;Bank Transfer;TXN107778
3/3/2022;Sales;Travel;East;93042;27560;Bank Transfer;TXN108127
26/6/2022;Sales;Salaries;East;116385;15747;Bank Transfer;TXN108139
1/1/2021;Sales;Travel;East;36730;94668;Bank Transfer;TXN108296
30/10/2021;Sales;Utilities;East;80669;75346;Bank Transfer;TXN108374
3/3/2021;Sales;Travel;East;50103;96594;Bank Transfer;TXN108531
7/2/2022;Sales;Training;East;147246;10389;Bank Transfer;TXN108601
17/5/2023;Sales;Infrastructure;East;37573;119635;Bank Transfer;TXN108790
27/4/2022;Sales;Travel;East;13740;114329;Bank Transfer;TXN108868
6/1/2022;Sales;Training;East;68889;133790;Bank Transfer;TXN108893
4/3/2023;Sales;Infrastructure;East;74076;142056;Bank Transfer;TXN108959
1/10/2023;Sales;Travel;East;75491;86251;Bank Transfer;TXN109090
25/5/2023;Sales;Infrastructure;East;108331;123983;Bank Transfer;TXN109256
20/9/2023;Sales;Salaries;East;113823;75136;Bank Transfer;TXN109576
24/7/2021;Sales;Training;East;147914;72577;Bank Transfer;TXN109698
3/1/2021;Sales;Utilities;East;110754;163556;Bank Transfer;TXN109753
11/11/2023;Marketing;Salaries;East;19702;87896;Bank Transfer;TXN100001
19/1/2023;Marketing;Utilities;East;72397;158604;Bank Transfer;TXN100119
13/12/2023;Marketing;Salaries;East;63368;53076;Bank Transfer;TXN100149
27/5/2023;Marketing;Infrastructure;East;139807;97194;Bank Transfer;TXN100308
16/2/2021;Marketing;Training;East;13900;121959;Bank Transfer;TXN100311
28/11/2022;Marketing;Salaries;East;40193;70124;Bank Transfer;TXN100341
26/3/2023;Marketing;Travel;East;59698;46419;Bank Transfer;TXN100487
25/2/2021;Marketing;Training;East;132188;70402;Bank Transfer;TXN100658
10/2/2021;Marketing;Training;East;65585;97125;Bank Transfer;TXN100997
7/9/2022;Marketing;Utilities;East;26037;71182;Bank Transfer;TXN101093
30/12/2022;Marketing;Training;East;67899;37817;Bank Transfer;TXN101346
4/2/2021;Marketing;Utilities;East;127859;29305;Bank Transfer;TXN101418
5/8/2023;Marketing;Travel;East;23763;85062;Bank Transfer;TXN101434
5/7/2021;Marketing;Utilities;East;71264;140561;Bank Transfer;TXN101443
10/1/2022;Marketing;Infrastructure;East;74932;136205;Bank Transfer;TXN101457
8/7/2022;Marketing;Training;East;20716;85121;Bank Transfer;TXN101683
8/4/2023;Marketing;Training;East;34121;72567;Bank Transfer;TXN101697
8/12/2021;Marketing;Utilities;East;115139;46910;Bank Transfer;TXN101761
11/8/2021;Marketing;Infrastructure;East;97473;50294;Bank Transfer;TXN102523
17/6/2022;Marketing;Salaries;East;144173;66929;Bank Transfer;TXN102788
16/4/2022;Marketing;Travel;East;88385;60454;Bank Transfer;TXN102879
29/9/2021;Marketing;Infrastructure;East;115825;140888;Bank Transfer;TXN102932
9/11/2023;Marketing;Utilities;East;68876;117364;Bank Transfer;TXN102940
3/6/2021;Marketing;Training;East;49276;129666;Bank Transfer;TXN103002
19/10/2022;Marketing;Utilities;East;33215;27499;Bank Transfer;TXN103255
15/6/2021;Marketing;Salaries;East;83978;14864;Bank Transfer;TXN103620
13/4/2023;Marketing;Infrastructure;East;58951;136298;Bank Transfer;TXN103662
6/4/2021;Marketing;Infrastructure;East;38039;90943;Bank Transfer;TXN103759
26/8/2021;Marketing;Utilities;East;66462;63341;Bank Transfer;TXN103864
24/7/2022;Marketing;Training;East;11615;68962;Bank Transfer;TXN104064
15/3/2023;Marketing;Salaries;East;27986;106172;Bank Transfer;TXN104232
24/6/2023;Marketing;Infrastructure;East;149030;153894;Bank Transfer;TXN104574
1/10/2021;Marketing;Travel;East;120665;42867;Bank Transfer;TXN104581
30/4/2023;Marketing;Utilities;East;140967;54788;Bank Transfer;TXN104670
20/4/2023;Marketing;Training;East;106617;169129;Bank Transfer;TXN104710
14/4/2023;Marketing;Training;East;43960;99884;Bank Transfer;TXN104753
21/4/2023;Marketing;Utilities;East;115620;88223;Bank Transfer;TXN104770
10/6/2021;Marketing;Salaries;East;103493;97535;Bank Transfer;TXN104981
9/8/2023;Marketing;Utilities;East;59724;106013;Bank Transfer;TXN105030
15/3/2021;Marketing;Travel;East;11104;62024;Bank Transfer;TXN105151
27/7/2023;Marketing;Travel;East;125513;121646;Bank Transfer;TXN105310
16/10/2021;Marketing;Travel;East;61384;46448;Bank Transfer;TXN105384
16/4/2023;Marketing;Utilities;East;80787;11213;Bank Transfer;TXN105497
7/2/2022;Marketing;Salaries;East;147062;27427;Bank Transfer;TXN105583
5/4/2021;Marketing;Marketing;East;18612;96255;Bank Transfer;TXN105622
25/3/2021;Marketing;Marketing;East;25648;60004;Bank Transfer;TXN105809
29/9/2022;Marketing;Infrastructure;East;19398;9777;Bank Transfer;TXN105884
15/10/2023;Marketing;Infrastructure;East;71140;96853;Bank Transfer;TXN105885
7/2/2023;Marketing;Salaries;East;51860;80934;Bank Transfer;TXN106174
10/3/2021;Marketing;Training;East;93661;150083;Bank Transfer;TXN106337
3/10/2023;Marketing;Infrastructure;East;47495;110140;Bank Transfer;TXN106565
16/9/2023;Marketing;Training;East;88233;169068;Bank Transfer;TXN106912
15/3/2022;Marketing;Travel;East;133754;73501;Bank Transfer;TXN107294
1/8/2023;Marketing;Training;East;104832;133506;Bank Transfer;TXN107476
9/9/2023;Marketing;Infrastructure;East;138566;112027;Bank Transfer;TXN107694
12/4/2022;Marketing;Utilities;East;19539;70739;Bank Transfer;TXN107880
25/10/2022;Marketing;Training;East;88216;155071;Bank Transfer;TXN107892
5/9/2021;Marketing;Salaries;East;108594;77530;Bank Transfer;TXN107928
8/5/2022;Marketing;Salaries;East;68656;146082;Bank Transfer;TXN108007
9/1/2021;Marketing;Training;East;133818;161640;Bank Transfer;TXN108038
19/6/2021;Marketing;Utilities;East;113940;93331;Bank Transfer;TXN108210
30/11/2023;Marketing;Salaries;East;58717;121032;Bank Transfer;TXN108250
29/10/2021;Marketing;Marketing;East;23147;65768;Bank Transfer;TXN108251
18/5/2022;Marketing;Infrastructure;East;30200;48198;Bank Transfer;TXN108372
24/10/2021;Marketing;Training;East;109760;157674;Bank Transfer;TXN108452
27/6/2022;Marketing;Marketing;East;38612;143100;Bank Transfer;TXN108498
18/10/2023;Marketing;Infrastructure;East;57036;154659;Bank Transfer;TXN108639
9/10/2021;Marketing;Infrastructure;East;89975;99294;Bank Transfer;TXN108661
22/2/2022;Marketing;Infrastructure;East;115847;143955;Bank Transfer;TXN108848
30/12/2021;Marketing;Marketing;East;102856;106232;Bank Transfer;TXN109257
19/7/2021;Marketing;Travel;East;138802;103408;Bank Transfer;TXN109281
20/1/2021;Marketing;Training;East;11604;136306;Bank Transfer;TXN109361
25/7/2022;Marketing;Marketing;East;131428;9464;Bank Transfer;TXN109434
10/10/2022;Marketing;Salaries;East;27822;163308;Bank Transfer;TXN109469
4/2/2023;Marketing;Salaries;East;41081;134343;Bank Transfer;TXN109595
27/5/2022;Marketing;Utilities;East;144850;103077;Bank Transfer;TXN109770
25/8/2023;Marketing;Utilities;East;108290;110222;Bank Transfer;TXN109782
2/7/2023;Marketing;Salaries;East;98013;71021;Bank Transfer;TXN109858
24/4/2021;Marketing;Training;East;46853;120463;Bank Transfer;TXN109884
24/8/2022;HR;Salaries;East;45864;130300;Bank Transfer;TXN100035
21/7/2021;HR;Travel;East;13480;67466;Bank Transfer;TXN100055
1/12/2023;HR;Marketing;East;111907;23332;Bank Transfer;TXN100072
19/8/2023;HR;Marketing;East;146529;132412;Bank Transfer;TXN100099
24/5/2021;HR;Salaries;East;87807;80583;Bank Transfer;TXN100182
27/7/2021;HR;Marketing;East;61159;25786;Bank Transfer;TXN100195
4/6/2023;HR;Training;East;122911;161528;Bank Transfer;TXN100428
1/8/2022;HR;Travel;East;33922;161424;Bank Transfer;TXN100583
26/6/2022;HR;Training;East;125763;127743;Bank Transfer;TXN100599
24/9/2023;HR;Infrastructure;East;22869;73592;Bank Transfer;TXN100805
25/3/2023;HR;Infrastructure;East;118050;130809;Bank Transfer;TXN100942
23/7/2023;HR;Travel;East;92680;84559;Bank Transfer;TXN100998
1/1/2023;HR;Travel;East;86427;131692;Bank Transfer;TXN101006
12/8/2021;HR;Marketing;East;60882;152823;Bank Transfer;TXN101202
2/2/2023;HR;Marketing;East;140480;150810;Bank Transfer;TXN101273
11/10/2023;HR;Salaries;East;97468;98915;Bank Transfer;TXN101399
15/8/2022;HR;Infrastructure;East;85012;151993;Bank Transfer;TXN101480
5/12/2022;HR;Travel;East;143959;74535;Bank Transfer;TXN101548
31/3/2023;HR;Travel;East;120212;156549;Bank Transfer;TXN101834
12/1/2023;HR;Infrastructure;East;71631;97191;Bank Transfer;TXN101851
14/8/2023;HR;Salaries;East;113963;150832;Bank Transfer;TXN101903
4/5/2021;HR;Travel;East;60396;86806;Bank Transfer;TXN101965
1/2/2021;HR;Utilities;East;90202;87152;Bank Transfer;TXN102203
4/12/2021;HR;Travel;East;141655;75618;Bank Transfer;TXN102305
12/7/2022;HR;Marketing;East;77310;33477;Bank Transfer;TXN102347
4/7/2022;HR;Marketing;East;125261;79126;Bank Transfer;TXN102348
14/3/2022;HR;Utilities;East;42791;27956;Bank Transfer;TXN102414
31/7/2023;HR;Salaries;East;134370;33443;Bank Transfer;TXN102597
30/9/2021;HR;Marketing;East;67211;150111;Bank Transfer;TXN102611
26/2/2023;HR;Infrastructure;East;97460;163424;Bank Transfer;TXN102614
30/7/2023;HR;Training;East;53403;88665;Bank Transfer;TXN102656
25/6/2022;HR;Infrastructure;East;56300;92646;Bank Transfer;TXN102837
2/4/2022;HR;Training;East;59602;162487;Bank Transfer;TXN102863
5/12/2023;HR;Travel;East;145891;98539;Bank Transfer;TXN102870
19/12/2023;HR;Salaries;East;83415;158544;Bank Transfer;TXN102871
11/8/2022;HR;Marketing;East;56660;129305;Bank Transfer;TXN103015
8/2/2022;HR;Utilities;East;33942;84057;Bank Transfer;TXN103186
6/8/2021;HR;Travel;East;95639;99205;Bank Transfer;TXN103193
7/8/2021;HR;Travel;East;55946;111825;Bank Transfer;TXN103209
1/9/2023;HR;Infrastructure;East;56094;75819;Bank Transfer;TXN103331
2/9/2021;HR;Salaries;East;94095;103129;Bank Transfer;TXN103435
29/7/2022;HR;Utilities;East;24802;123606;Bank Transfer;TXN103580
21/6/2022;HR;Utilities;East;75858;35154;Bank Transfer;TXN103630
25/4/2023;HR;Infrastructure;East;100883;144028;Bank Transfer;TXN103809
25/6/2023;HR;Salaries;East;145374;52476;Bank Transfer;TXN103826
20/12/2023;HR;Salaries;East;107360;142511;Bank Transfer;TXN104061
11/12/2022;HR;Travel;East;141460;136598;Bank Transfer;TXN104070
21/6/2021;HR;Salaries;East;139664;100350;Bank Transfer;TXN104580
26/7/2022;HR;Utilities;East;68141;114652;Bank Transfer;TXN104822
27/9/2021;HR;Infrastructure;East;43653;50177;Bank Transfer;TXN105123
25/3/2021;HR;Infrastructure;East;37118;59018;Bank Transfer;TXN105272
11/1/2023;HR;Salaries;East;78506;103795;Bank Transfer;TXN105410
29/1/2022;HR;Travel;East;87746;35973;Bank Transfer;TXN105604
27/1/2022;HR;Marketing;East;109018;54897;Bank Transfer;TXN105606
20/10/2022;HR;Training;East;109410;114331;Bank Transfer;TXN105744
29/10/2022;HR;Salaries;East;90643;77501;Bank Transfer;TXN105793
15/8/2021;HR;Travel;East;129741;60753;Bank Transfer;TXN105805
21/1/2021;HR;Travel;East;13949;17947;Bank Transfer;TXN105897
3/9/2022;HR;Infrastructure;East;57634;60984;Bank Transfer;TXN105905
2/11/2022;HR;Training;East;80793;10899;Bank Transfer;TXN105906
16/2/2021;HR;Salaries;East;78009;100820;Bank Transfer;TXN105945
24/6/2022;HR;Utilities;East;62050;61469;Bank Transfer;TXN106030
7/11/2021;HR;Infrastructure;East;59402;24679;Bank Transfer;TXN106162
14/11/2022;HR;Utilities;East;75636;12278;Bank Transfer;TXN106175
24/9/2023;HR;Utilities;East;25383;55395;Bank Transfer;TXN106176
18/12/2023;HR;Marketing;East;31274;39935;Bank Transfer;TXN106356
19/7/2021;HR;Utilities;East;69760;119486;Bank Transfer;TXN106384
8/7/2023;HR;Training;East;72030;32041;Bank Transfer;TXN106621
2/11/2023;HR;Training;East;143527;43348;Bank Transfer;TXN106904
19/2/2022;HR;Marketing;East;118316;151453;Bank Transfer;TXN107046
7/4/2023;HR;Marketing;East;142346;118073;Bank Transfer;TXN107286
4/3/2021;HR;Utilities;East;15423;159393;Bank Transfer;TXN107376
25/9/2023;HR;Marketing;East;74172;87119;Bank Transfer;TXN107669
29/4/2023;HR;Infrastructure;East;57141;146169;Bank Transfer;TXN107711
26/6/2022;HR;Travel;East;31677;137217;Bank Transfer;TXN108116
30/4/2022;HR;Travel;East;143673;31000;Bank Transfer;TXN108160
17/11/2023;HR;Marketing;East;146642;122158;Bank Transfer;TXN108174
29/1/2021;HR;Travel;East;117083;143369;Bank Transfer;TXN108506
21/6/2023;HR;Marketing;East;40671;76834;Bank Transfer;TXN108690
13/3/2021;HR;Utilities;East;93176;138651;Bank Transfer;TXN108815
2/9/2021;HR;Salaries;East;30517;105015;Bank Transfer;TXN108982
24/3/2023;HR;Salaries;East;11302;111183;Bank Transfer;TXN109002
4/9/2023;HR;Marketing;East;66020;168509;Bank Transfer;TXN109016
11/4/2021;HR;Marketing;East;28449;94706;Bank Transfer;TXN109232
11/1/2022;HR;Infrastructure;East;11096;164397;Bank Transfer;TXN109447
30/11/2022;HR;Marketing;East;10913;140412;Bank Transfer;TXN109578
17/4/2022;HR;Travel;East;35300;159476;Bank Transfer;TXN109826
21/4/2021;HR;Salaries;East;66993;165442;Bank Transfer;TXN109847
17/5/2022;HR;Utilities;East;15045;118750;Bank Transfer;TXN109888
4/6/2022;HR;Infrastructure;East;82586;74825;Bank Transfer;TXN109980
27/1/2022;HR;Marketing;East;69171;120442;Cash;TXN100079
30/9/2023;Operations;Marketing;East;67753;31128;Cash;TXN100299
29/12/2023;Marketing;Marketing;East;115302;137925;Cash;TXN100342
9/1/2022;Marketing;Marketing;East;128099;109120;Cash;TXN100532
20/12/2022;Operations;Marketing;East;21070;157732;Cash;TXN100655
16/10/2021;IT;Marketing;East;98724;113530;Cash;TXN100807
29/6/2023;Sales;Marketing;East;71171;30547;Cash;TXN100948
19/6/2022;Operations;Marketing;East;100986;106395;Cash;TXN101228
15/8/2022;Marketing;Marketing;East;16352;104527;Cash;TXN101355
2/9/2023;Marketing;Marketing;East;90078;94029;Cash;TXN101589
26/9/2023;Finance;Marketing;East;84963;92753;Cash;TXN101694
10/1/2023;IT;Marketing;East;130123;162254;Cash;TXN102081
19/2/2021;IT;Marketing;East;142430;16429;Cash;TXN102105
14/2/2023;HR;Marketing;East;48457;93973;Cash;TXN102250
14/7/2021;Operations;Marketing;East;32289;156382;Cash;TXN102531
5/9/2022;Marketing;Marketing;East;70014;77579;Cash;TXN102620
6/10/2022;IT;Marketing;East;100352;47378;Cash;TXN102872
4/12/2021;IT;Marketing;East;32319;80800;Cash;TXN103188
4/3/2021;IT;Marketing;East;41942;160376;Cash;TXN103320
28/1/2023;Finance;Marketing;East;70514;11475;Cash;TXN103429
1/4/2023;Finance;Marketing;East;19250;40014;Cash;TXN103446
13/2/2021;HR;Marketing;East;54180;57534;Cash;TXN103521
20/5/2022;Sales;Marketing;East;122467;129436;Cash;TXN103559
19/12/2023;Operations;Marketing;East;23920;78972;Cash;TXN103675
4/9/2021;Operations;Marketing;East;143446;114835;Cash;TXN103822
29/1/2023;IT;Marketing;East;21290;130582;Cash;TXN104154
23/2/2021;HR;Marketing;East;24143;59290;Cash;TXN104195
10/4/2023;Finance;Marketing;East;115932;28374;Cash;TXN104264
21/5/2022;Finance;Marketing;East;46779;50109;Cash;TXN104516
21/10/2021;Marketing;Marketing;East;51753;125233;Cash;TXN104701
10/7/2021;Finance;Marketing;East;48560;147831;Cash;TXN104810
27/10/2022;HR;Marketing;East;31940;93932;Cash;TXN104833
10/7/2023;Sales;Marketing;East;35194;48382;Cash;TXN104936
28/2/2021;Marketing;Marketing;East;81385;129288;Cash;TXN104980
21/7/2022;Sales;Marketing;East;98529;59947;Cash;TXN105102
29/3/2023;Marketing;Marketing;East;10603;21650;Cash;TXN105169
11/4/2021;Finance;Marketing;East;83336;82032;Cash;TXN105181
3/11/2021;Operations;Marketing;East;47212;124332;Cash;TXN105508
2/2/2023;Sales;Marketing;East;147700;72960;Cash;TXN105673
9/3/2021;Sales;Marketing;East;21807;44958;Cash;TXN105733
22/1/2022;HR;Marketing;East;20251;85437;Cash;TXN105932
16/3/2023;Marketing;Marketing;East;17586;52452;Cash;TXN106012
17/9/2021;Marketing;Marketing;East;91682;135376;Cash;TXN106116
21/12/2022;HR;Marketing;East;21654;56989;Cash;TXN106119
20/7/2023;Marketing;Marketing;East;93169;63991;Cash;TXN106298
5/3/2021;Marketing;Marketing;East;107465;41496;Cash;TXN106306
21/5/2022;Sales;Marketing;East;146714;61319;Cash;TXN106473
1/10/2021;HR;Marketing;East;91774;58182;Cash;TXN106576
27/10/2023;Marketing;Marketing;East;45917;37285;Cash;TXN106658
11/9/2023;Finance;Marketing;East;126837;46036;Cash;TXN106927
12/11/2023;Finance;Marketing;East;122070;92110;Cash;TXN107022
17/12/2022;IT;Marketing;East;129410;138387;Cash;TXN107186
2/8/2021;Finance;Marketing;East;24006;10554;Cash;TXN107765
11/7/2022;HR;Marketing;East;59015;57726;Cash;TXN107850
25/12/2021;Sales;Marketing;East;63569;168296;Cash;TXN108140
16/9/2022;Operations;Marketing;East;39008;32935;Cash;TXN108195
2/1/2023;Marketing;Marketing;East;18127;66794;Cash;TXN108321
17/10/2023;HR;Marketing;East;17596;161892;Cash;TXN108402
21/6/2023;HR;Marketing;East;34648;10075;Cash;TXN108497
7/5/2022;Sales;Marketing;East;85640;130149;Cash;TXN108923
11/11/2022;Operations;Marketing;East;138639;27220;Cash;TXN108941
11/1/2021;Finance;Marketing;East;26806;36753;Cash;TXN108947
30/10/2021;Finance;Marketing;East;126158;91081;Cash;TXN108999
13/12/2021;HR;Marketing;East;13074;91218;Cash;TXN109009
26/1/2022;HR;Marketing;East;143397;39321;Cash;TXN109026
17/1/2023;Finance;Marketing;East;83750;108330;Cash;TXN109078
20/4/2022;HR;Marketing;East;47707;26769;Cash;TXN109310
29/9/2023;HR;Marketing;East;123298;45888;Cash;TXN109522
26/2/2023;Operations;Marketing;East;21670;53433;Cash;TXN109788
24/4/2022;HR;Marketing;East;69973;19377;Cash;TXN109846
28/11/2022;Marketing;Marketing;East;123316;43319;Cash;TXN109996
20/4/2022;Operations;Training;East;99586;30720;Cash;TXN100019
13/8/2023;Sales;Training;East;49467;57941;Cash;TXN100169
11/10/2021;HR;Training;East;13450;94037;Cash;TXN100231
10/9/2021;Finance;Training;East;127485;129534;Cash;TXN100255
16/11/2022;Marketing;Training;East;49338;72652;Cash;TXN100279
29/4/2023;IT;Training;East;26147;91537;Cash;TXN100384
16/6/2021;HR;Training;East;64833;10013;Cash;TXN100462
18/6/2022;Finance;Training;East;71434;99679;Cash;TXN100632
11/12/2022;Marketing;Training;East;49512;64335;Cash;TXN100884
25/6/2023;Operations;Training;East;54056;31790;Cash;TXN101012
8/2/2021;Finance;Training;East;91163;166194;Cash;TXN101104
3/7/2023;IT;Training;East;148073;74931;Cash;TXN101194
31/3/2022;HR;Training;East;82296;10526;Cash;TXN101327
22/12/2022;Marketing;Training;East;35162;13599;Cash;TXN101339
8/9/2021;Marketing;Training;East;70916;89684;Cash;TXN101384
20/8/2023;Sales;Training;East;10553;62891;Cash;TXN101578
11/2/2022;Operations;Training;East;41969;165504;Cash;TXN101600
4/3/2023;HR;Training;East;87008;41243;Cash;TXN101780
26/4/2023;Finance;Training;East;78570;29139;Cash;TXN101803
8/10/2023;HR;Training;East;87632;147058;Cash;TXN101814
20/8/2021;HR;Training;East;111224;23019;Cash;TXN101893
2/12/2021;Marketing;Training;East;55108;91486;Cash;TXN102060
10/2/2021;IT;Training;East;69657;68777;Cash;TXN102302
23/5/2021;Finance;Training;East;117102;145045;Cash;TXN102334
28/6/2023;HR;Training;East;127769;97739;Cash;TXN102605
28/10/2022;HR;Training;East;64698;28382;Cash;TXN102633
31/3/2023;Operations;Training;East;106783;29170;Cash;TXN102635
25/6/2023;Marketing;Training;East;16251;40744;Cash;TXN102671
19/12/2022;Marketing;Training;East;128535;56332;Cash;TXN102991
14/3/2023;IT;Training;East;63750;32790;Cash;TXN103346
16/4/2022;Sales;Training;East;65516;10205;Cash;TXN103380
27/12/2022;Sales;Training;East;110492;133748;Cash;TXN103384
24/6/2021;Finance;Training;East;93595;72139;Cash;TXN103424
11/9/2022;Marketing;Training;East;77730;81203;Cash;TXN103506
30/12/2023;Operations;Training;East;10360;48353;Cash;TXN103582
7/4/2022;HR;Training;East;113715;153637;Cash;TXN103621
4/11/2023;HR;Training;East;39234;111516;Cash;TXN103648
30/8/2022;Finance;Training;East;123089;123057;Cash;TXN103715
17/2/2021;Marketing;Training;East;100853;19837;Cash;TXN103794
11/12/2021;Operations;Training;East;101922;15846;Cash;TXN104000
19/1/2022;Marketing;Training;East;133684;135073;Cash;TXN104078
18/4/2023;Sales;Training;East;70490;76959;Cash;TXN104252
11/3/2023;Sales;Training;East;62739;96781;Cash;TXN104409
7/12/2022;IT;Training;East;106711;116585;Cash;TXN104428
1/1/2022;Sales;Training;East;100415;102745;Cash;TXN104488
9/11/2021;Operations;Training;East;59271;40577;Cash;TXN104494
30/11/2021;Operations;Training;East;131104;78375;Cash;TXN104630
23/5/2022;Sales;Training;East;143347;8872;Cash;TXN104763
20/3/2021;Marketing;Training;East;118034;140910;Cash;TXN104931
5/1/2023;Finance;Training;East;138256;133232;Cash;TXN105186
18/6/2023;IT;Training;East;17353;122467;Cash;TXN105258
12/6/2023;Marketing;Training;East;63386;34874;Cash;TXN105294
2/1/2023;HR;Training;East;87716;99769;Cash;TXN105365
4/1/2021;Finance;Training;East;35534;126472;Cash;TXN105511
18/5/2022;Marketing;Training;East;45654;111733;Cash;TXN105569
26/5/2022;HR;Training;East;22288;163023;Cash;TXN105984
6/1/2021;Operations;Training;East;50593;109964;Cash;TXN106003
27/6/2021;Finance;Training;East;102334;63101;Cash;TXN106042
1/7/2022;HR;Training;East;79241;151744;Cash;TXN106060
